station,ddne,ddnw,dds,ddse,ddsw,ddw,v100,v60,v70,v80,vv,ddn,dde,Stationsname,Longitude,Latitude,Height,year,month
11402,12.0,0.0,2.0,5.0,24.0,40.0,0.0,0.0,0.0,0.0,1.4,1.0,5.0,HOLZGAU,10.338611,47.2575,1092.0,2021,11
11402,1.0,2.0,1.0,1.0,18.0,51.0,0.0,0.0,0.0,0.0,1.1,1.0,4.0,HOLZGAU,10.338611,47.2575,1092.0,2021,12
11402,5.0,4.0,1.0,1.0,13.0,59.0,0.0,0.0,0.0,0.0,1.7,1.0,3.0,HOLZGAU,10.338611,47.2575,1092.0,2022,1
11402,1.0,3.0,2.0,3.0,27.0,38.0,0.0,1.0,0.0,0.0,1.6,0.0,5.0,HOLZGAU,10.338611,47.2575,1092.0,2022,2
11402,12.0,0.0,1.0,7.0,12.0,43.0,0.0,0.0,0.0,0.0,1.6,2.0,13.0,HOLZGAU,10.338611,47.2575,1092.0,2022,3
11402,19.0,2.0,0.0,1.0,32.0,14.0,0.0,0.0,0.0,0.0,2.0,6.0,13.0,HOLZGAU,10.338611,47.2575,1092.0,2022,4
11402,24.0,1.0,2.0,2.0,26.0,17.0,0.0,0.0,0.0,0.0,1.7,6.0,7.0,HOLZGAU,10.338611,47.2575,1092.0,2022,5
11402,21.0,5.0,1.0,0.0,16.0,20.0,0.0,1.0,0.0,0.0,1.9,8.0,14.0,HOLZGAU,10.338611,47.2575,1092.0,2022,6
11402,30.0,1.0,0.0,2.0,17.0,21.0,0.0,0.0,0.0,0.0,1.9,4.0,8.0,HOLZGAU,10.338611,47.2575,1092.0,2022,7
11402,32.0,0.0,1.0,3.0,11.0,21.0,0.0,0.0,0.0,0.0,1.8,3.0,15.0,HOLZGAU,10.338611,47.2575,1092.0,2022,8
11402,14.0,5.0,0.0,1.0,19.0,29.0,0.0,0.0,0.0,0.0,1.4,7.0,4.0,HOLZGAU,10.338611,47.2575,1092.0,2022,9
11402,9.0,1.0,3.0,2.0,16.0,49.0,0.0,0.0,0.0,0.0,1.2,1.0,9.0,HOLZGAU,10.338611,47.2575,1092.0,2022,10
11402,9.0,0.0,1.0,2.0,24.0,36.0,0.0,0.0,0.0,0.0,1.1,2.0,5.0,HOLZGAU,10.338611,47.2575,1092.0,2022,11
11410,0.0,4.0,4.0,26.0,6.0,28.0,0.0,1.0,1.0,0.0,1.5,0.0,8.0,TANNHEIM,10.505834,47.500278,1100.0,2021,11
11410,0.0,1.0,4.0,40.0,5.0,22.0,0.0,3.0,1.0,0.0,1.3,0.0,8.0,TANNHEIM,10.505834,47.500278,1100.0,2021,12
11410,0.0,5.0,3.0,30.0,6.0,37.0,0.0,4.0,0.0,0.0,1.9,0.0,7.0,TANNHEIM,10.505834,47.500278,1100.0,2022,1
11410,0.0,1.0,2.0,23.0,10.0,41.0,0.0,10.0,5.0,3.0,2.3,0.0,3.0,TANNHEIM,10.505834,47.500278,1100.0,2022,2
11410,2.0,6.0,6.0,23.0,6.0,27.0,0.0,0.0,0.0,0.0,1.7,2.0,10.0,TANNHEIM,10.505834,47.500278,1100.0,2022,3
11410,5.0,16.0,4.0,6.0,8.0,27.0,0.0,2.0,1.0,1.0,1.9,3.0,15.0,TANNHEIM,10.505834,47.500278,1100.0,2022,4
11410,6.0,17.0,3.0,10.0,3.0,27.0,0.0,0.0,0.0,0.0,1.9,1.0,21.0,TANNHEIM,10.505834,47.500278,1100.0,2022,5
11410,5.0,23.0,1.0,10.0,4.0,24.0,0.0,1.0,0.0,0.0,2.0,1.0,20.0,TANNHEIM,10.505834,47.500278,1100.0,2022,6
11410,2.0,24.0,1.0,9.0,4.0,28.0,0.0,0.0,0.0,0.0,2.0,4.0,19.0,TANNHEIM,10.505834,47.500278,1100.0,2022,7
11410,5.0,17.0,2.0,6.0,3.0,30.0,0.0,0.0,0.0,0.0,1.7,1.0,25.0,TANNHEIM,10.505834,47.500278,1100.0,2022,8
11410,0.0,8.0,4.0,23.0,7.0,31.0,0.0,0.0,0.0,0.0,1.6,1.0,7.0,TANNHEIM,10.505834,47.500278,1100.0,2022,9
11410,0.0,3.0,5.0,35.0,9.0,23.0,0.0,0.0,0.0,0.0,1.5,0.0,8.0,TANNHEIM,10.505834,47.500278,1100.0,2022,10
11410,1.0,0.0,10.0,23.0,10.0,28.0,0.0,0.0,0.0,0.0,1.4,0.0,10.0,TANNHEIM,10.505834,47.500278,1100.0,2022,11
11505,2.0,4.0,26.0,5.0,10.0,3.0,0.0,0.0,0.0,0.0,1.9,28.0,6.0,REUTTE,10.715278,47.494446,841.8,2021,11
11505,1.0,1.0,40.0,11.0,17.0,3.0,0.0,0.0,0.0,0.0,1.6,12.0,2.0,REUTTE,10.715278,47.494446,841.8,2021,12
11505,2.0,5.0,24.0,14.0,16.0,3.0,0.0,0.0,0.0,0.0,1.8,20.0,2.0,REUTTE,10.715278,47.494446,841.8,2022,1
11505,2.0,5.0,26.0,10.0,19.0,2.0,0.0,5.0,3.0,1.0,2.2,15.0,4.0,REUTTE,10.715278,47.494446,841.8,2022,2
11505,5.0,13.0,18.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,3.1,44.0,0.0,REUTTE,10.715278,47.494446,841.8,2022,3
11505,0.0,27.0,7.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,3.1,35.0,3.0,REUTTE,10.715278,47.494446,841.8,2022,4
11505,3.0,17.0,11.0,5.0,14.0,3.0,0.0,1.0,1.0,0.0,2.8,39.0,0.0,REUTTE,10.715278,47.494446,841.8,2022,5
11505,1.0,18.0,20.0,2.0,13.0,4.0,0.0,2.0,0.0,0.0,3.0,29.0,1.0,REUTTE,10.715278,47.494446,841.8,2022,6
11505,2.0,16.0,12.0,5.0,13.0,1.0,0.0,0.0,0.0,0.0,2.9,40.0,1.0,REUTTE,10.715278,47.494446,841.8,2022,7
11505,2.0,30.0,17.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,3.1,29.0,0.0,REUTTE,10.715278,47.494446,841.8,2022,8
